"ID","Area","ZCTA5CE00","CLASSFP00","MTFCC00","FUNCSTAT00","Group.1","ideal_point","ideal_point_se"
371,197.581848,"24531","B5","G6350","S",24531,0.500616,0.860953
372,35.671547,"24527","B5","G6350","S",24527,0.574930,0.490549
373,22.054939,"24161","B5","G6350","S",24161,0.920876,0.551320
374,120.179367,"24609","B5","G6350","S",24609,1.239465,0.633909
375,122.484100,"24266","B5","G6350","S",24266,-0.012808,0.623200
376,32.275768,"24649","B5","G6350","S",,,
377,104.228462,"24224","B5","G6350","S",24224,0.381830,0.569686
378,91.408653,"24260","B5","G6350","S",24260,-0.130737,0.839878
379,7.254367,"24280","B5","G6350","S",24280,0.997567,0.506575
380,39.979786,"24639","B5","G6350","S",24639,0.273495,0.488613
381,14.880724,"24646","B5","G6350","S",24646,1.673853,0.482152
382,79.300674,"23140","B5","G6350","S",23140,0.781886,0.524111
383,29.803703,"23141","B5","G6350","S",23141,1.189910,0.542193
384,62.008297,"23181","B5","G6350","S",23181,-1.067028,0.765158
385,58.445091,"23089","B5","G6350","S",23089,-1.114782,0.514674
386,18.211821,"23011","B5","G6350","S",23011,-1.380446,0.691361
387,121.929970,"23970","B5","G6350","S",23970,-0.749048,0.667021
388,136.832703,"23944","B5","G6350","S",23944,-0.899041,0.631848
389,11.314298,"23952","B5","G6350","S",,,
390,3.535584,"22433","B5","G6350","S",,,
391,19.746552,"22972","B5","G6350","S",,,
392,116.862579,"22960","B5","G6350","S",22960,-0.045252,0.584023
393,2.355839,"22957","B5","G6350","S",22957,1.585394,0.624532
394,41.566597,"22567","B5","G6350","S",22567,0.239846,0.570031
395,20.892752,"22542","B5","G6350","S",22542,1.010004,0.400493
396,46.491890,"22923","B5","G6350","S",22923,-0.214610,0.567885
397,67.760277,"22508","B5","G6350","S",22508,0.655939,0.599892
398,0.099319,"24142","B5","G6350","S",,,
399,71.619720,"23942","B5","G6350","S",,,
400,92.398773,"23974","B5","G6350","S",23974,0.059495,0.612104
401,63.062172,"23954","B5","G6350","S",23954,-0.545140,0.627166
402,3.740999,"23707","B5","G6350","S",23707,-0.289546,0.680759
403,2.159693,"237HH","B5","G6350","S",,,
404,5.343146,"23704","B5","G6350","S",23704,-0.491786,0.576725
405,2.629855,"23702","B5","G6350","S",23702,-0.035273,0.661143
406,0.178684,"23708","B5","G6350","S",,,
407,7.674018,"23701","B5","G6350","S",23701,-0.353339,0.617501
408,8.632548,"23703","B5","G6350","S",23703,-0.218524,0.622307
409,26.443163,"23834","B5","G6350","S",23834,0.473325,0.584704
410,92.423271,"22520","B5","G6350","S",22520,0.712002,0.585833
411,158.923019,"22572","B5","G6350","S",22572,1.084510,0.673287
412,58.160046,"22460","B5","G6350","S",22460,0.148445,0.552501
413,0.026397,"22548","B5","G6350","S",,,
414,37.090233,"224HH","B5","G6350","S",,,
415,50.074745,"225HH","B5","G6350","S",,,
416,3.095429,"23899","B5","G6350","S",23899,0.108610,1.274831
417,45.630516,"23846","B5","G6350","S",23846,0.689013,0.936787
418,51.413754,"23883","B5","G6350","S",23883,-1.365894,0.549642
419,141.590164,"23842","B5","G6350","S",23842,1.011473,0.479197
420,177.451981,"23890","B5","G6350","S",23890,-0.278919,0.598836
421,120.201370,"23881","B5","G6350","S",23881,-1.112625,0.707417
422,37.972942,"23839","B5","G6350","S",23839,0.260782,0.745535
423,63.736378,"22443","B5","G6350","S",22443,0.947627,0.575758
424,26.586479,"22488","B5","G6350","S",22488,1.833443,0.598199
425,36.927193,"22469","B5","G6350","S",22469,-0.109175,0.375523
426,2.935284,"22529","B5","G6350","S",,,
427,72.171013,"24148","B5","G6350","S",24148,-0.214610,0.644862
428,151.440552,"24112","B5","G6350","S",24112,-0.077669,0.567883
429,0.015186,"27048","B5","G6350","S",27048,-0.060814,0.661681
430,35.861927,"24530","B5","G6350","S",,,
431,39.034657,"24165","B5","G6350","S",24165,0.124554,0.612568
432,1.263281,"24168","B5","G6350","S",24168,1.154512,0.617122
433,98.151688,"24054","B5","G6350","S",24054,-0.371778,0.686413
434,38.688583,"24102","B5","G6350","S",24102,-0.064479,0.655722
435,80.607170,"24055","B5","G6350","S",24055,0.484751,0.617669
436,7.508139,"24078","B5","G6350","S",24078,1.113308,0.674233
437,11.070712,"24089","B5","G6350","S",24089,0.617139,0.545427
438,94.079826,"24073","B5","G6350","S",24073,0.235711,0.602456
439,32.543179,"24162","B5","G6350","S",,,
440,57.010036,"24087","B5","G6350","S",24087,-0.467036,0.766773
