SAINC7N Wages and Salaries by NAICS Industry 1/,,,,,,,
(Thousands of dollars) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013
4000,Arizona,531,          Food manufacturing,322980,342139,349537,373531
4000,Arizona,532,          Beverage and tobacco product manufacturing,154334,155302,155622,159579
4000,Arizona,533,          Textile mills,20883,20591,21773,22886
4000,Arizona,534,          Textile product mills,18840,22039,22573,23014
4000,Arizona,535,          Apparel manufacturing,4363,3339,2653,4212
4000,Arizona,536,          Leather and allied product manufacturing,14022,13377,13104,13836
4000,Arizona,537,          Paper manufacturing,113232,120756,118511,97870
4000,Arizona,538,          Printing and related support activities,215770,218116,241702,269174
4000,Arizona,539,          Petroleum and coal products manufacturing,11697,14619,12237,11396
4000,Arizona,541,          Chemical manufacturing,207252,229465,259214,265951
4000,Arizona,542,          Plastics and rubber products manufacturing,169116,171509,185668,189195
4000,Arizona,600,      Wholesale trade,6339012,6581445,7064249,6832863
4000,Arizona,700,      Retail trade,8661552,9184027,9264135,9155932
4000,Arizona,701,        Motor vehicle and parts dealers,1487404,1603326,1742687,1871395
4000,Arizona,702,        Furniture and home furnishings stores,278342,279892,296251,313503
4000,Arizona,703,        Electronics and appliance stores,597396,947202,673684,459248
4000,Arizona,704,        Building material and garden equipment and supplies dealers,629493,643340,639590,651904
4000,Arizona,705,        Food and beverage stores,1503601,1462608,1466226,1464290
4000,Arizona,706,        Health and personal care stores,712440,704100,723773,752383
4000,Arizona,707,        Gasoline stations,331052,330302,347264,361541
4000,Arizona,708,        Clothing and clothing accessories stores,396451,387034,403968,419278
4000,Arizona,709,"        Sporting goods, hobby, musical instrument, and book stores",222513,218751,223302,234156
4000,Arizona,711,        General merchandise stores,1399811,1440065,1471543,1495601
4000,Arizona,712,        Miscellaneous store retailers,473708,490674,504410,515752
4000,Arizona,713,        Nonstore retailers,629341,676733,771437,616881
4000,Arizona,800,      Transportation and warehousing,3234497,3474982,3641701,3693515
4000,Arizona,801,        Air transportation,945996,1005904,983825,946901
4000,Arizona,802,        Rail transportation,(D),196067,224239,(D)
4000,Arizona,803,        Water transportation,(D),(D),(D),(D)
4000,Arizona,804,        Truck transportation,741553,796560,888260,894727
4000,Arizona,805,        Transit and ground passenger transportation,275963,286772,285443,282690
4000,Arizona,806,        Pipeline transportation,23702,24405,29115,26081
4000,Arizona,807,        Scenic and sightseeing transportation,15234,18371,19013,20700
4000,Arizona,808,        Support activities for transportation,393945,439918,467986,511062
4000,Arizona,809,        Couriers and messengers,(D),(D),(D),394121
4000,Arizona,811,        Warehousing and storage,307862,346711,375826,394956
4000,Arizona,900,      Information,2124698,2200107,2358390,2641871
4000,Arizona,901,        Publishing industries (except Internet),492045,501324,533231,513127
4000,Arizona,902,        Motion picture and sound recording industries,77097,82636,95724,101429
4000,Arizona,903,        Broadcasting (except Internet),232547,244468,244312,261039
4000,Arizona,904,        Internet publishing and broadcasting 2/,(NA),(NA),(NA),(NA)
4000,Arizona,905,        Telecommunications,947538,968404,973356,998073
4000,Arizona,906,"        Data processing, hosting, and related services",293094,310377,393131,643372
4000,Arizona,907,        Other information services 2/,82377,92898,118636,124831
4000,Arizona,1000,      Finance and insurance,7403465,7968354,8678744,9450711
4000,Arizona,1001,        Monetary Authorities-central bank,12573,(D),(D),(D)
4000,Arizona,1002,        Credit intermediation and related activities,4023940,4330588,4862424,5209173
4000,Arizona,1003,"        Securities, commodity contracts, and other financial investments and related activities",1049729,1190966,1254786,1493252
4000,Arizona,1004,        Insurance carriers and related activities,2315843,2432468,2556004,2740192
4000,Arizona,1005,"        Funds, trusts, and other financial vehicles",1380,(D),(D),(D)
4000,Arizona,1100,      Real estate and rental and leasing,1968882,2043025,2197488,2242481
4000,Arizona,1101,        Real estate,1323918,1388488,1431440,1528934
4000,Arizona,1102,        Rental and leasing services,511035,540747,645682,603945
4000,Arizona,1103,        Lessors of nonfinancial intangible assets (except copyrighted works),133929,113790,120366,109602
4000,Arizona,1200,"      Professional, scientific, and technical services",8264022,8739829,9178099,9555923
4000,Arizona,1300,      Management of companies and enterprises,1898273,1948682,2201200,2465488
