"ID","Area","ZCTA5CE00","CLASSFP00","MTFCC00","FUNCSTAT00"
520,5.848838,"22180","B5","G6350","S"
521,1.477670,"201HH","B5","G6350","S"
522,11.626958,"20171","B5","G6350","S"
523,22.576191,"20124","B5","G6350","S"
524,26.925608,"22066","B5","G6350","S"
525,16.819666,"20120","B5","G6350","S"
526,6.132521,"22152","B5","G6350","S"
527,18.671206,"22030","B5","G6350","S"
528,6.902555,"22306","B5","G6350","S"
529,8.298883,"22015","B5","G6350","S"
530,9.049417,"20121","B5","G6350","S"
531,2.821585,"22046","B5","G6350","S"
532,0.574629,"22027","B5","G6350","S"
533,4.693331,"22043","B5","G6350","S"
534,24.790300,"22039","B5","G6350","S"
535,8.379775,"22153","B5","G6350","S"
536,2.159086,"22303","B5","G6350","S"
537,8.497626,"20191","B5","G6350","S"
538,5.741949,"220HH","B5","G6350","S"
539,15.709626,"20151","B5","G6350","S"
540,7.512794,"22032","B5","G6350","S"
541,4.547898,"20190","B5","G6350","S"
542,12.908518,"22003","B5","G6350","S"
543,2.104373,"223HH","B5","G6350","S"
544,6.139526,"22042","B5","G6350","S"
545,8.976023,"22033","B5","G6350","S"
546,7.540303,"22309","B5","G6350","S"
547,4.506437,"22308","B5","G6350","S"
548,2.286372,"22044","B5","G6350","S"
549,9.175144,"22124","B5","G6350","S"
550,3.021637,"22307","B5","G6350","S"
551,8.727505,"20170","B5","G6350","S"
552,3.230183,"20194","B5","G6350","S"
553,6.856726,"22310","B5","G6350","S"
554,5.931795,"22181","B5","G6350","S"
555,5.256871,"22151","B5","G6350","S"
556,8.657463,"22150","B5","G6350","S"
557,4.476880,"22946","B5","G6350","S"
558,38.863419,"22969","B5","G6350","S"
559,0.276420,"22924","B5","G6350","S"
560,161.307129,"24590","B5","G6350","S"
561,105.779045,"22932","B5","G6350","S"
562,54.738674,"22901","B5","G6350","S"
563,16.640371,"24562","B5","G6350","S"
564,68.523659,"22903","B5","G6350","S"
565,1.950107,"229HH","B5","G6350","S"
566,39.186749,"22937","B5","G6350","S"
567,54.701370,"22959","B5","G6350","S"
568,56.687077,"22920","B5","G6350","S"
569,34.631245,"22936","B5","G6350","S"
570,21.005529,"22935","B5","G6350","S"
571,43.061989,"22968","B5","G6350","S"
572,7.055363,"22943","B5","G6350","S"
573,65.013832,"22902","B5","G6350","S"
574,10.316680,"22931","B5","G6350","S"
575,47.225719,"22911","B5","G6350","S"
576,37.565502,"22938","B5","G6350","S"
577,33.886356,"22940","B5","G6350","S"
578,1.703571,"22211","B5","G6350","S"
579,3.532727,"22202","B5","G6350","S"
580,4.046186,"22204","B5","G6350","S"
581,6.514805,"22207","B5","G6350","S"
582,2.232746,"22201","B5","G6350","S"
583,2.727567,"22205","B5","G6350","S"
584,0.727016,"22209","B5","G6350","S"
585,0.532591,"22213","B5","G6350","S"
586,13.968032,"22101","B5","G6350","S"
587,1.593718,"22203","B5","G6350","S"
588,25.563484,"22436","B5","G6350","S"
589,46.779018,"22454","B5","G6350","S"
590,5.560933,"23115","B5","G6350","S"
591,54.943371,"23148","B5","G6350","S"
592,39.164661,"22437","B5","G6350","S"
593,19.717905,"22476","B5","G6350","S"
594,98.495667,"22560","B5","G6350","S"
595,11.203270,"22504","B5","G6350","S"
596,11.619818,"22509","B5","G6350","S"
597,105.902969,"24134","B5","G6350","S"
598,21.241455,"24150","B5","G6350","S"
599,43.408005,"24136","B5","G6350","S"
600,3.482049,"24167","B5","G6350","S"
601,3.959762,"24086","B5","G6350","S"
602,10.481480,"24094","B5","G6350","S"
603,3.430971,"24147","B5","G6350","S"
604,7.769983,"24093","B5","G6350","S"
605,52.369148,"23027","B5","G6350","S"
606,79.475517,"23038","B5","G6350","S"
607,118.044312,"22602","B5","G6350","S"
608,34.809387,"22655","B5","G6350","S"
609,7.827900,"22656","B5","G6350","S"
610,4.011583,"226HH","B5","G6350","S"
611,97.857208,"22603","B5","G6350","S"
612,43.629848,"22625","B5","G6350","S"
613,26.547234,"22663","B5","G6350","S"
614,35.602325,"22645","B5","G6350","S"
615,50.714836,"22654","B5","G6350","S"
616,20.290102,"22624","B5","G6350","S"
617,9.807915,"22601","B5","G6350","S"
618,41.154232,"22637","B5","G6350","S"
619,16.634630,"22939","B5","G6350","S"
620,31.712458,"24430","B5","G6350","S"
621,42.952950,"20117","B5","G6350","S"
622,17.595064,"20137","B5","G6350","S"
623,26.108191,"20184","B5","G6350","S"
624,24.490711,"22742","B5","G6350","S"
625,124.808426,"22630","B5","G6350","S"
626,0.622277,"20140","B5","G6350","S"
627,96.475990,"22554","B5","G6350","S"
628,83.312241,"24485","B5","G6350","S"
629,13.286976,"24431","B5","G6350","S"
630,64.954948,"24479","B5","G6350","S"
631,79.841957,"24421","B5","G6350","S"
632,23.948532,"24486","B5","G6350","S"
633,139.849838,"228XX","B5","G6350","S"
634,0.041463,"24463","B5","G6350","S"
635,49.181549,"22812","B5","G6350","S"
636,6.872201,"24475","B5","G6350","S"
637,97.924530,"24439","B5","G6350","S"
638,91.244240,"22980","B5","G6350","S"
639,12.307856,"24437","B5","G6350","S"
640,22.375120,"24440","B5","G6350","S"
641,46.618519,"24477","B5","G6350","S"
642,34.855820,"24432","B5","G6350","S"
643,30.359653,"22841","B5","G6350","S"
644,61.707970,"22843","B5","G6350","S"
645,30.122356,"22958","B5","G6350","S"
646,44.212093,"24441","B5","G6350","S"
647,19.944897,"24467","B5","G6350","S"
648,40.783310,"24459","B5","G6350","S"
649,48.989323,"22952","B5","G6350","S"
650,67.229378,"24472","B5","G6350","S"
651,14.823442,"24482","B5","G6350","S"
652,0.594534,"20139","B5","G6350","S"
